uid,title,content,type,audio_file_name,category
1,1 Corinthians 15:51-5,"<p>Behold! I tell you a mystery.<br/>
We shall not all sleep,<br/>
but we shall all be changed,<br/>
in a moment, in the twinkling of an eye, at the last trumpet.<br/>
For the trumpet will sound, and the dead will be raised imperishable,<br/>
and we shall be changed.<br/>
For this perishable body must put on the imperishable,<br/>
and this mortal body must put on immortality.<br/>
When the perishable puts on the imperishable, and the mortal puts on immortality,<br/>
then shall come to pass the saying that is written: “Death is swallowed up in victory.”<br/>
“O death, where is your victory?<br/>
O death, where is your sting?”<br/>
The sting of death is sin,<br/>
and the power of sin is the law.<br/>
But thanks be to God, who gives us the victory through our Lord Jesus Christ.</p>",reading,,New Testament
2,1 Thessalonians,"<p>4:13-18</p>
<p>But we do not want you to be uninformed, brothers, about those who are asleep, that you may not grieve as others do who have no hope.For since we believe that Jesus died and rose again, even so, through Jesus, God will bring with him those who have fallen asleep.</p>",reading,,New Testament
3,1st Letter St. Paul Corinthians 15-20-28,"<p>15: 20-28<br/>
Brothers and Sisters:<br/>
Christ has been raised from the dead,<br/>
the firstfruits of those who have fallen asleep.<br/>
For since death came through a human being,<br/>
the resurrection of the dead<br/>
came also through a human being.<br/>
For just as in Adam all die,<br/>
so too in Christ shall all be brought to life,<br/>
but each one in proper order: Christ the firstfruits;<br/>
then, at his coming, those who belong to Christ;<br/>
then comes the end, when he hands over the kingdom<br/>
to his God and Father, when he has destroyed<br/>
every sovereignty and every authority and power.<br/>
For he must reign until he has put<br/>
all his enemies under his feet.<br/>
The last enemy to be destroyed is death,<br/>
for &quot;he subjected everything under his feet.&quot;<br/>
But when it says that everything has been subjected,<br/>
it is clear that it excludes<br/>
the one who subjected everything to him.<br/>
When everything is subjected to him,<br/>
then the Son himself will also be subjected<br/>
to the one who subjected everything to him,<br/>
so that God may be all in all.</p>
<p>The Word of the Lord</p>",reading,,New Testament
4,"2nd Letter St. Paul to Timothy 4-1-2,6-8","<p>2nd Letter St. Paul to Timothy 4- 1-2,6-8</p>
<p>4: 1-2,6-8</p>
<p>I charge you in the presence of God and of Christ Jesus,<br/>
who will judge the living and the dead,<br/>
and by his appearing and his kingly power:<br/>
proclaim the word; be persistent<br/>
whether it is convenient or inconvenient;<br/>
convince, reprimand, encourage<br/>
through all patience and teaching.<br/>
For I am already being poured out like a libation,<br/>
and the time of my departure is at hand.<br/>
I have competed well;<br/>
I have finished the race;<br/>
I have kept the faith.<br/>
From now on the crown of righteousness awaits me,<br/>
which the Lord, the just judge,<br/>
will award to me on that day, and not only to me,<br/>
but to all who have longed for his appearance.</p>
<p>The Word of the Lord</p>",reading,,New Testament
5,Abide with Me,"<p>; fast falls the eventide;<br/>
The darkness deepens; Lord with me abide.<br/>
When other helpers fail and comforts flee,<br/>
Help of the helpless, O .</p>
<p>Swift to its close ebbs out life&#x27;s little day;<br/>
Earth&#x27;s joys grow dim; its glories pass away;<br/>
Change and decay in all around I see;<br/>
O Thou who changest not, .</p>
<p>I need Thy presence every passing hour.<br/>
What but Thy grace can foil the tempter&#x27;s power?<br/>
Who, like Thyself, my guide and stay can be?<br/>
Through cloud and sunshine, Lord, .</p>
<p>I fear no foe, with Thee at hand to bless;<br/>
Ills have no weight, and tears no bitterness.<br/>
Where is death&#x27;s sting? Where, grave, thy victory?<br/>
I triumph still, if Thou .</p>
<p>Hold Thou Thy cross before my closing eyes;<br/>
Shine through the gloom and point me to the skies.<br/>
Heaven&#x27;s morning breaks, and earth&#x27;s vain shadows flee;<br/>
In life, in death, O Lord, .</p>",reading,,Hymns
6,Abide with Me,<p>Lyrics not available.</p>,lyric,01 Abide With Me,","
7,Acts 10-34-43,"<p>Acts 10- 34-43 10: 34-43<br/>
Then Peter proceeded to speak and said,<br/>
&quot;In truth, I see that God shows no partiality.<br/>
Rather, in every nation whoever fears him<br/>
and acts uprightly is acceptable to him.<br/>
You know the word [that] he sent to the Israelites<br/>
as he proclaimed peace through Jesus Christ,<br/>
who is Lord of all, what has happened all over Judea,<br/>
beginning in Galilee after the baptism<br/>
that John preached,<br/>
how God anointed Jesus of Nazareth<br/>
with the holy Spirit and power.<br/>
He went about doing good and healing all those<br/>
oppressed by the devil, for God was with him.<br/>
We are witnesses of all that he did<br/>
both in the country of the Jews and (in) Jerusalem.<br/>
They put him to death by hanging him on a tree.<br/>
This man God raised (on) the third day<br/>
and granted that he be visible,<br/>
not to all the people, but to us,<br/>
the witnesses chosen by God in advance,<br/>
who ate and drank with him<br/>
after he rose from the dead.<br/>
He commissioned us to preach to the people and testify<br/>
that he is the one appointed by God<br/>
as judge of the living and the dead.<br/>
To him all the prophets bear witness,<br/>
that everyone who believes in him will receive<br/>
forgiveness of sins through his name.&quot;</p>
<p>The Word of the Lord</p>",reading,,New Testament
8,All Things Bright and Beautiful,"<p>All creatures great and small,<br/>
All things wise and wonderful:<br/>
The Lord God made them all.</p>
<p>Each little flower that opens,<br/>
Each little bird that sings,<br/>
He made their glowing colors,<br/>
He made their tiny wings.</p>
<p>The purple headed mountains,<br/>
The river running by,<br/>
The sunset and the morning<br/>
That brightens up the sky.</p>
<p>The cold wind in the winter,<br/>
The pleasant summer sun,<br/>
The ripe fruits in the garden,<br/>
He made them every one.</p>
<p>He gave us eyes to see them,<br/>
And lips that we might tell<br/>
How great is God Almighty,<br/>
Who has made all things well.</p>",lyric,02 All Things Bright And Beautiful,","
9,Amazing Grace,"<p>how sweet the sound<br/>
That saved a wretch like me<br/>
I once was lost, but now I’m found,<br/>
Was blind, but now I see.</p>
<p>&#x27;Twas grace that taught my heart to fear,<br/>
And grace my fears relieved;<br/>
How precious did that grace appear<br/>
The hour I first believed.</p>
<p>Through many dangers, toils, and snares,<br/>
I have already come;<br/>
&#x27;Tis grace that brought me safe thus far,<br/>
And grace will lead me home.</p>
<p>The Lord has promised good to me,<br/>
His word my hope secures;<br/>
He will my shield and portion be<br/>
As long as life endures.</p>
<p>When we’ve been there ten thousand years,<br/>
Bright shining as the sun,<br/>
We’ve no less days to sing God’s praise<br/>
Than we’d first begun.</p>
<p>Tis grace hath brought me safe thus far,<br/>
And grace will lead me home.</p>",lyric,03 Amazing Grace,","
10,Ave Maria (Gounod),"<p>Grauverhüllt in Lumpen,<br/>
sitzt ein Bettler auf der Strasse,<br/>
an der Ecke in Rio de Janeiro.<br/>
In seinen Händen, hält er bescheiden,<br/>
eine Gitarre, und schlägt leise die Akkorde,<br/>
und dabei singt er dieses Lied.<br/>
Ohne zu schauen, hasten die Menschen,<br/>
achtlos vorbei, und so bleibt der Teller leer,<br/>
der einem Armen Brot geben soll.<br/>
Doch plötzlich fallen, zwei gold&#x27;ne Münzen,<br/>
in seinen Teller - das war Maria.<br/>
Ave Maria, die immer Gute, hat ihn gesehen<br/>
und still gegeben.<br/>
Ave Maria - Ave Maria<br/>
du gehst einher mit off&#x27;nen Händen,<br/>
niemals wird deine Liebe enden,<br/>
Ave Maria<br/>
Ave Maria, die imer Gute,<br/>
hat ihn gesehen und still gegeben.<br/>
Ave Maria - Ave Maria...</p>",lyric,04 Ave Maria (Gounod),","
